ID,FIPS Code,Geographic Area Description,Enterprise Employment Size,Number of Firms,Number of Establishments,Employment,Employment Noise Flag,"Annual Payroll",Annual Payroll Noise Flag
411,49,Utah,06:  20-99,5001,6393,183315,G,6783908,G
412,49,Utah,07:  100-499,1284,2955,147593,G,6257067,G
413,49,Utah,08:  <500,57948,61313,520366,G,19411043,G
414,49,Utah,09:  500+,1952,10574,581191,G,25761311,G
415,50,Vermont,01:  Total,18176,21119,262474,G,10074054,G
416,50,Vermont,02:  0-4,10721,10732,17796,G,659296,G
417,50,Vermont,03:  5-9,3117,3139,20471,G,651539,G
418,50,Vermont,04:  10-19,1770,1855,23258,G,753202,G
419,50,Vermont,05:  <20,15608,15726,61525,G,2064037,G
420,50,Vermont,06:  20-99,1486,2058,51422,G,1945510,G
421,50,Vermont,07:  100-499,360,1058,42497,G,1683255,G
422,50,Vermont,08:  <500,17454,18842,155444,G,5692802,G
423,50,Vermont,09:  500+,722,2277,107030,G,4381252,G
424,51,Virginia,01:  Total,148827,193907,3131723,G,154472464,G
425,51,Virginia,02:  0-4,86598,86699,146850,G,5763348,G
426,51,Virginia,03:  5-9,25164,25439,165911,G,5910857,G
427,51,Virginia,04:  10-19,16094,16802,213923,G,8231858,G
428,51,Virginia,05:  <20,127856,128940,526684,G,19906063,G
429,51,Virginia,06:  20-99,14063,17849,511464,G,22550137,G
430,51,Virginia,07:  100-499,3531,9688,429441,G,21908385,G
431,51,Virginia,08:  <500,145450,156477,1467589,G,64364585,G
432,51,Virginia,09:  500+,3377,37430,1664134,G,90107879,G
433,53,Washington,01:  Total,144705,176815,2444098,G,130764584,G
434,53,Washington,02:  0-4,87900,88002,142576,G,5507616,G
435,53,Washington,03:  5-9,24871,25079,163194,G,5649675,G
436,53,Washington,04:  10-19,14460,15181,191633,G,7147420,G
437,53,Washington,05:  <20,127231,128262,497403,G,18304711,G
438,53,Washington,06:  20-99,11618,15039,416974,G,17985940,G
439,53,Washington,07:  100-499,2990,8378,349238,G,17281039,G
440,53,Washington,08:  <500,141839,151679,1263615,G,53571690,G
441,53,Washington,09:  500+,2866,25136,1180483,G,77192894,G
442,54,West Virginia,01:  Total,28211,37573,575987,G,21498704,G
443,54,West Virginia,02:  0-4,14761,14781,27671,G,754587,G
444,54,West Virginia,03:  5-9,5462,5527,35719,G,941694,G
445,54,West Virginia,04:  10-19,3259,3416,43194,G,1329179,G
446,54,West Virginia,05:  <20,23482,23724,106584,G,3025460,G
447,54,West Virginia,06:  20-99,2711,3881,98341,G,3257236,G
448,54,West Virginia,07:  100-499,767,2269,86025,G,3002160,G
449,54,West Virginia,08:  <500,26960,29874,290950,G,9284856,G
450,54,West Virginia,09:  500+,1251,7699,285037,G,12213848,G
451,55,Wisconsin,01:  Total,108110,137983,2401032,G,102083261,G
452,55,Wisconsin,02:  0-4,59780,59864,100747,G,3617570,G
453,55,Wisconsin,03:  5-9,19051,19280,125323,G,3860551,G
454,55,Wisconsin,04:  10-19,12400,13028,166117,G,5386237,G
455,55,Wisconsin,05:  <20,91231,92172,392187,G,12864358,G
456,55,Wisconsin,06:  20-99,11619,15827,439066,G,15706684,G
457,55,Wisconsin,07:  100-499,2736,8403,384895,G,15446412,G
458,55,Wisconsin,08:  <500,105586,116402,1216148,G,44017454,G
459,55,Wisconsin,09:  500+,2524,21581,1184884,G,58065807,G
460,56,Wyoming,01:  Total,17741,20629,212635,G,9773125,G
461,56,Wyoming,02:  0-4,10607,10613,17275,G,694078,G
462,56,Wyoming,03:  5-9,2973,2999,19364,G,636307,G
463,56,Wyoming,04:  10-19,1735,1817,22825,G,807433,G
464,56,Wyoming,05:  <20,15315,15429,59464,G,2137818,G
465,56,Wyoming,06:  20-99,1304,1821,43306,G,1761813,G
466,56,Wyoming,07:  100-499,373,849,29315,G,1227270,G
467,56,Wyoming,08:  <500,16992,18099,132085,G,5126901,G
468,56,Wyoming,09:  500+,749,2530,80550,G,4646224,G
