Id,Name,Description,250x250 Thumbnail,Full Size Thumbnail,Comics Available,ComicName0,ComicName1,ComicName2,ComicName3,ComicName4,ComicName5,ComicName6,ComicName7,ComicName8,ComicName9,ComicName10,ComicName11,ComicName12,ComicName13,ComicName14,ComicName15,ComicName16,ComicName17,ComicName18,ComicName19,ComicName20,Stories Available,Events Available,Series Available
1009532,Reaper,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,10,X-Factor (1986) #77,X-Factor (1986) #85,X-Factor Visionaries: Peter David Vol. 2 (Trade Paperback),X-Factor Visionaries: Peter David Vol. 4 (Trade Paperback),X-Force (1991) #1,http://gateway.marvel.com/v1/public/comics/17990,X-Force (1991) #26,http://gateway.marvel.com/v1/public/comics/17991,X-Force (1991) #27,X-Force (1991) #28,X-Men (1991) #14,X-Men (1991) #15,,,,,,,,,,9,0,5
1009533,Reavers,,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4c003c63deac8/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/c0/4c003c63deac8.jpg,14,Marvel Point One (Trade Paperback),Uncanny X-Men (1963) #247,Uncanny X-Men (1963) #249,Uncanny X-Men (1963) #251,Uncanny X-Men (1963) #252,http://gateway.marvel.com/v1/public/comics/13794,Uncanny X-Men (1963) #253,http://gateway.marvel.com/v1/public/comics/13796,Uncanny X-Men (1963) #255,Uncanny X-Men (1963) #262,Uncanny X-Men (1963) #269,Wolverine (1988) #35,Wolverine (1988) #36,Wolverine (1988) #37,Wolverine (1988) #38,X-Men Visionaries: Jim Lee (Trade Paperback),,,,,,13,0,4
1015000,Reavers (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,2,Ultimate Spider-Man (2000) #94,Ultimate Spider-Man Vol. 16: Deadpool (Trade Paperback),,,,,,,,,,,,,,,,,,,,1,0,2
1011249,Red 9,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1009534,Red Ghost,,http://i.annihil.us/u/prod/marvel/i/mg/7/10/535ff3cd59285/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/7/10/535ff3cd59285.jpg,7,Amazing Spider-Man (1963) #223,Defenders (1972) #8,Fantastic Four (1961) #400,Marvel Adventures Spider-Man (2010) #20,Ms. Marvel Vol. 7: Dark Reign (Trade Paperback),http://gateway.marvel.com/v1/public/comics/14108,Wolverine (1988) #164,http://gateway.marvel.com/v1/public/comics/1023,Wolverine/Deadpool: Weapon X (Trade Paperback),,,,,,,,,,,,,6,0,7
1011238,Red Ghost (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1011360,Red Hulk,,http://i.annihil.us/u/prod/marvel/i/mg/5/90/5102cb7fc1262/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/5/90/5102cb7fc1262.jpg,55,Amazing Spider-Man (1999) #669 (Architect Variant),Amazing Spider-Man (1999) #669 (Architect Sketch Variant),Amazing Spider-Man (1999) #669 (Slott Variant),Annihilators: Earthfall (2011) #2,Avengers (2010) #7,http://gateway.marvel.com/v1/public/comics/37008,Avengers (2010) #7 (MCGUINNESS VARIANT),http://gateway.marvel.com/v1/public/comics/29211,Avengers (2010) #8,Avengers (2010) #9,Avengers (2010) #11,Avengers (2010) #11 (CAPTAIN AMERICA 70TH ANNIVERSARY VARIANT),Avengers (2010) #14,Avengers By Brian Michael Bendis Vol. 2 Premiere HC (Hardcover),Avengers Vs. X-Men (2012) #12,Avengers: X-Sanction (2011) #3,Avenging Spider-Man (2011) #1,Avenging Spider-Man (2011) #1 (Quesada Sketch Variant),Avenging Spider-Man (2011) #1 (Humberto Ramos Variant),Avenging Spider-Man (2011) #1 (J. Scott Campbell Variant),Avenging Spider-Man (2011) #1 (Blank Cover Variant),64,3,19
1017099,Red Hulk (HAS),"US Army General Thunderbolt Ross used to a be a huge pain in Hulk's you know what! But as the saying goes, if you can't beat 'em, join 'em! He decided to supersize himself and join the team as Red! Just as cranky as before, Red still gives Hulk a hard time, but deep down he loves being a part of the Agents of S.M.A.S.H. - that, and his Gatling Laser Cannon. ",http://i.annihil.us/u/prod/marvel/i/mg/2/a0/523214eac3705/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/2/a0/523214eac3705.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1011436,Red She-Hulk,,http://i.annihil.us/u/prod/marvel/i/mg/e/70/50fec0bfb125a/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/e/70/50fec0bfb125a.jpg,16,Avengers (2010) #16,Defenders (2011) #8,Fear Itself (2010) #3,Fear Itself (2010) #7,Hulk (2008) #47,http://gateway.marvel.com/v1/public/comics/31071,Incredible Hulks (2009) #608 (VARIANT),http://gateway.marvel.com/v1/public/comics/31236,Incredible Hulks (2009) #618,Incredible Hulks (2009) #623,Incredible Hulks (2009) #627,Incredible Hulks (2009) #627 (THOR HOLLYWOOD VARIANT),Incredible Hulks (2009) #628,Incredible Hulks (2009) #629,Incredible Hulks (2009) #630,Point One (2011) #1,Point One (2011) #1 (Bradshaw Variant),Point One (2011) #1 (Bradshaw Inked Variant),,,,17,2,6
1011155,Red Shift,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1009535,Red Skull,,http://i.annihil.us/u/prod/marvel/i/mg/2/03/526036550cd37/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/2/03/526036550cd37.jpg,107,All Winners Comics 70th Anniversary Special (2009) #1,All-Winners Comics (1941) #12,Avengers (1998) #60,Avengers (1998) #69,Avengers (1963) #386,http://gateway.marvel.com/v1/public/comics/7271,Avengers (1963) #387,http://gateway.marvel.com/v1/public/comics/1098,Avengers Vol. 1: World Trust (Trade Paperback),Avengers Vol. 2: Red Zone (Trade Paperback),Avengers Vol. II: Red Zone (Trade Paperback),Avengers VS (2016) #1,Avengers/Invaders (2008) #9,Avengers/Invaders (2008) #10,Avengers/Invaders (2008) #10 (BREITWEISER VARIANT),Black Widow & the Marvel Girls (2009) #3,Cap Transport (2005) #2,Cap Transport (2005) #5,Cap Transport (2005) #8,Cap Transport (2005) #14,Cap Transport (2005) #15,101,4,56
1010965,Red Skull (Albert Malik),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1010837,Red Wolf,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,13,Avengers (1963) #80,Avengers (1963) #81,"Doctor Strange, Sorcerer Supreme (1988) #25",Marvel Comics Presents (1988) #15,Marvel Comics Presents (1988) #72,http://gateway.marvel.com/v1/public/comics/10019,Marvel Comics Presents (1988) #107,http://gateway.marvel.com/v1/public/comics/10089,Marvel Comics Presents (1988) #170,Marvel Spotlight (1971) #1,Marvel Super-Heroes (1992) #2,Rawhide Kid (1960) #27,Rawhide Kid (1960) #143,Wolverine: Weapon X (Trade Paperback),Wolverine: Weapon X Premiere (Hardcover),,,,,,,13,0,8
1011390,Redwing,,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4ce5a7383561c/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4ce5a7383561c.jpg,4,Avengers (1963) #88,Captain America (2004) #606 (HEROIC AGE VARIANT),Captain America and the Falcon (2010) #1,Heroes for Hire (2010) #1 (TOLIBAO VARIANT),,,,,,,,,,,,,,,,,,4,0,4
1011376,Reptil,,http://i.annihil.us/u/prod/marvel/i/mg/c/00/4ce5a6ff4202c/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/c/00/4ce5a6ff4202c.jpg,31,Amazing Spider-Man (1999) #661,Amazing Spider-Man (1999) #661 (X-Men Art Variant),Amazing Spider-Man (1999) #662,Avengers Academy (2010) #1,Avengers Academy (2010) #1 (2ND PRINTING VARIANT),http://gateway.marvel.com/v1/public/comics/34490,Avengers Academy (2010) #1 (DJURDJEVIC VARIANT),http://gateway.marvel.com/v1/public/comics/29217,Avengers Academy (2010) #2,Avengers Academy (2010) #2 (2ND PRINTING VARIANT),Avengers Academy (2010) #3,Avengers Academy (2010) #3 (WOMEN OF MARVEL VARIANT),Avengers Academy (2010) #3 (MCKONE VARIANT),Avengers Academy (2010) #4,Avengers Academy (2010) #7,Avengers Academy (2010) #10,Avengers Academy (2010) #11,Avengers Academy (2010) #12,Avengers Academy (2010) #13,Avengers Academy (2010) #13 (THOR HOLLYWOOD VARIANT),Avengers Academy (2010) #14,36,2,4
1011189,Retro Girl,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,Powers: Who Killed Retro Girl? (Hardcover),,,,,,,,,,,,,,,,,,,,,1,0,1
1011330,Revanche,,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708/standard_fantastic.gif,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c002e0305708.gif,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1009537,Rhino,,http://i.annihil.us/u/prod/marvel/i/mg/8/60/4c003c58f1a0c/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/8/60/4c003c58f1a0c.jpg,29,Agent X (2002) #6,Amazing Spider-Man (1963) #41,Amazing Spider-Man (1963) #43,Amazing Spider-Man (1999) #625,Amazing Spider-Man (1999) #644 (BACHALO VARIANT),http://gateway.marvel.com/v1/public/comics/22979,Amazing Spider-Man Family (2008) #3,http://gateway.marvel.com/v1/public/comics/6030,Cable & Deadpool (2004) #37,Cable & Deadpool Vol. 7: Separation Anxiety (Trade Paperback),Fantastic Four (1961) #330,Fantastic Four (1961) #358,Incredible Hulk (1962) #218,Incredible Hulk (1962) #314,Incredible Hulk (1962) #435,Marvel Masterworks: The Amazing Spider-Man Vol. V - 2nd Edition (1st) (Trade Paperback),Marvel Two-in-One (1974) #96,"Peter Parker, the Spectacular Spider-Man (1976) #190",Spider-Man Blue (Trade Paperback),Spider-Man's Tangled Web (2001) #5,Spider-Man's Tangled Web (2001) #6,30,0,21
1009702,Rhodey,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,1,Iron Man 2.0 (2011) #12,,,,,,,,,,,,,,,,,,,,,1,0,1
1011401,Richard Fisk,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
